index,French,English
272,toi,you
273,aucun,no
274,mis,put
275,pr?s,precise
276,forme,shape
277,hommes,men
278,font,make
279,plut�t,rather
280,passer,pass
281,d?s,d?
282,d�veloppement,development
283,article,article
284,donner,to give
285,etc,etc
286,vrai,true
287,produits,products
288,loin,far
289,notamment,particularly
290,services,services
291,choix,choice
292,seule,only
293,jeunes,youth
294,gr�ce,greece
295,simple,simple
296,�quipe,�QUIPE
297,pu,could
298,air,air
299,d�but,disregard
300,as,have
301,aide,aid
302,entreprise,business
303,qualit�,quality
304,vue,seen
305,mani?re,manner
306,probl?me,problem
307,pris,taken
308,pr�sident,propriety
309,sommes,are
310,veut,wanna
311,seront,will be
312,ayant,having
313,mort,dead
314,conseil,advice
315,terre,earth
316,heures,time
317,long,long
318,�tant,In
319,avaient,had
320,passe,pass
321,aime,love
322,centre,center
323,tour,round
324,simplement,simply
325,femmes,women
326,g�n�ral,genetic
327,formation,training
328,situation,situation
329,porte,door
330,nombreux,many
331,film,film
332,semble,seems
333,base,base
334,argent,money
335,nouvelles,news
336,id�e,ideal
337,march�,march
338,quel,what
339,cause,cause
340,belle,beautiful
341,type,kind
342,esprit,mind
343,public,audience
344,pass�,past
345,parfois,sometimes
346,pourtant,yet
347,donne,given
348,aucune,none
349,parler,speak
350,loi,law
351,autant,so much
352,propre,own
353,haut,high
354,derni?re,last
355,autour,around
356,sant�,health
357,membres,members
358,agit,act
359,gouvernement,government
360,plan,plan
361,programme,program
362,livre,book
363,fille,daughter
364,gros,wholesale
365,cependant,however
366,genre,gender
367,doute,doubt
368,d'ailleurs,moreover
369,fort,strong
370,vais,am going to
371,semaine,week
372,vient,come
373,aura,will have
374,mesure,measure
375,p?re,pre
376,jouer,player
377,guerre,war
378,peux,can
379,chacun,each
380,lire,read
381,s�curit�,scheme
382,journ�e,day
383,titre,title
384,cadre,frame
385,enfant,child
386,certaines,some
387,entreprises,essence
388,presque,almost
389,soir,evening
390,vite,quick
391,?tes,?your
392,page,page
393,amour,love
394,important,important
395,action,stock
397,quatre,four
398,offre,offer
399,heure,hour
400,mariage,marriage
401,force,strength
402,doivent,have to
403,produit,product
404,retour,return
405,r�gion,regeneration
406,grands,great
407,diff�rents,different
408,points,points
409,blog,blog
410,message,message
411,questions,issues
412,utiliser,utilize
413,obtenir,obtain
414,informations,information
415,musique,music
416,plaisir,pleasure
417,vont,are going
418,petits,small
419,or,gold
420,devrait,should
421,nature,nature
422,ta,your
423,malgr�,despite
424,aider,to help
425,s?r,s? r
426,an,year
427,laquelle,which
428,image,picture
429,parmi,among
430,quelle,what
431,d'abord,first of all
432,information,information
433,conditions,terms
434,tard,late
435,donn�es,data
436,millions,millions
437,fonction,function
438,voil?,Voil?
439,gestion,management
440,occasion,opportunity
442,rendre,return
443,but,goal
444,comprendre,to understand
445,sait,know
446,donn�,given
447,ordre,order
448,moyen,medium
449,terme,term
450,attention,Warning
451,Europe,Europe
452,nouveaux,new
453,plein,full
454,arrive,arrived
455,difficile,difficult
456,salle,room
457,risque,risk
458,exp�rience,experience
459,�crit,Written
460,fond,bottom
461,veux,want
462,parti,left
463,plupart,mostly
464,existe,exist
465,longtemps,long time
466,pouvait,could
467,sites,Site (s
468,int�rieur,interetent
469,m?re,m?
470,mai,may
471,art,art
472,fais,do 
473,prend,take
474,voix,voice
475,�tais,Berth
476,sein,breast
477,beau,handsome
478,�cole,Ecole
480,particulier,particular
481,amis,friends
482,bas,low
483,sinon,otherwise
484,euros,euros
486,fils,son
487,avis,notice
488,r�le,rule
489,activit�s,Activities
490,sorte,sort
491,valeur,value
492,environ,approximately
493,p�riode,period
494,regard,glance
495,diff�rentes,different
496,utilisation,use
497,r�ponse,response
498,prise,plug
499,presents,present
500,,
